alte Barcodes,Seriennummer,Gerät,Typ,Art,Defekt,vorhanden,Bemerkungen
000198,20250738,HK Audio DART Monitor,Lautsprecher,Geräte,0,x,
000200,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000201,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000202,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000203,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000204,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000205,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000206,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000207,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000208,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000209,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000210,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000211,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000212,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000213,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000215,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000216,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000218,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000219,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000222,NULL,Manfrotto Multiblitz,Stative,Zubehör,0,x,
000223,NULL,K&M Stativ 210/2,Stative,Zubehör,0,x,
000225,NULL,K&M 23760 Mic-Angel,Stative,Zubehör,0,x,
000226,Z3A0558,Roland R44 Fieldrecorder,Recorder,Geräte,0,x,
000227,NULL,Tasche Angelset,Taschen,Zubehör,0,x,
100012,NULL,Kunstkopf,Sonstiges,Zubehör,0,x,
000229,NULL,K 240 MK II,Kopfhörer,Zubehör,0,x,
100001,7861 & 8463,KM 130,Neumann,Mikrofone,0,x,
100002,7862 & 4727,KM 130,Neumann,Mikrofone,0,x,
100003,7864 & 4731,KM 130,Neumann,Mikrofone,0,x,
100004,7865 & 8486,KM 130,Neumann,Mikrofone,0,x,
100005,6135 & 6364,KM 130,Neumann,Mikrofone,0,x,
100006,037 & 7150,KM 53,Neumann,Mikrofone,0,x,
100007,064 & 77,KM 53,Neumann,Mikrofone,0,x,
100008,431,KM 53,Neumann,Mikrofone,0,x,
100009,95,KM 53,Neumann,Mikrofone,0,x,
100010,419,KM 53,Neumann,Mikrofone,0,x,
100401,6029 & 3898,KM 140,Neumann,Mikrofone,0,,
100402,4855 & 3295,KM 140,Neumann,Mikrofone,0,x,
100403,2677 & 8845,KM 140,Neumann,Mikrofone,0,,
100405,15309 & 3331,KM 140,Neumann,Mikrofone,0,x,
100406,15310 & 8838,KM 140,Neumann,Mikrofone,0,x,
100407,5271&4186,KM 54,Neumann,Mikrofone,0,x,
100408,5272&3443,KM 54,Neumann,Mikrofone,0,x,
100409,1291&1450,KM 54,Neumann,Mikrofone,0,x,
100410,4172&75,KM 54,Neumann,Mikrofone,0,x,
100411,055 & 7401,KM 54,Neumann,Mikrofone,0,x,
100412,367,KM 54,Neumann,Mikrofone,0,x,
100413,4173,KM 54,Neumann,Mikrofone,0,x,
100030,NULL,MD 441,Sennheiser,Mikrofone,0,x,
100011,7601,MD 441,Sennheiser,Mikrofone,0,x,
100091,NULL,MD 441,Sennheiser,Mikrofone,0,x,
100035,69624,MD 441,Sennheiser,Mikrofone,0,x,
100047,70003,MD 441,Sennheiser,Mikrofone,0,x,
100017,2095,M100,BeyerDynamic,Mikrofone,0,x,
100059,70552,M260,BeyerDynamic,Mikrofone,0,x,
010036,142660,MD 421,Sennheiser,Mikrofone,0,x,
100064,114930,MD 421,Neumann,Mikrofone,0,x,
100201,926 & 9280,KM 143,Neumann,Mikrofone,0,x,
